Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721499875498,2765691.8440856934,4700,1,0.30000000000000004,1423341.2068634033,4700,1,0.30000000000000004,1899721.670501709,4700,1,0.30000000000000004,1546244.1259613037,4700,1,0.30000000000000004,1559512.347076416,4700,1,0.30000000000000004,1566113.8849334717,4700,1,0.30000000000000004,1588401.0709838867,4700,1,0.30000000000000004,1666778.6243896484,4700,1,0.30000000000000004,1842972.2370300293,4700,1,0.30000000000000004,1340660.4360046387,4700,1,0.30000000000000004,1335046.0667266846,4700,1,0.30000000000000004,1406878.1598052979,4700,1,0.30000000000000004,210976119.5248413,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,4.1666669845581055,0,0,0,0,0,0,100,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,0,0,0,0,8.333333969116211,66480525312,2147479552,40760541184,0
199,1721499875499,2765691.846801758,4700,1,0.30000000000000004,1423341.2174835205,4700,1,0.30000000000000004,1899721.6714324951,4700,1,0.30000000000000004,1546244.1280517578,4700,1,0.30000000000000004,1559512.3486480713,4700,1,0.30000000000000004,1566113.8950805664,4700,1,0.30000000000000004,1588401.0722808838,4700,1,0.30000000000000004,1666778.62600708,4700,1,0.30000000000000004,1842972.238067627,4700,1,0.30000000000000004,1340660.4370269775,4700,1,0.30000000000000004,1335046.067779541,4700,1,0.30000000000000004,1406878.1696929932,4700,1,0.30000000000000004,210976119.62445068,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,4.1666669845581055,0,0,0,0,0,0,100,0,0,0,4.1666669845581055,0,0,0,0,0,0,0,0,0,0,0,8.333333969116211,66480525312,2147479552,40762089472,0
199,1721499875699,2765692.0336608887,4700,1,0.30000000000000004,1423341.321182251,4700,1,0.30000000000000004,1899721.7246246338,4700,1,0.30000000000000004,1546244.257095337,4700,1,0.30000000000000004,1559512.4819488525,4700,1,0.30000000000000004,1566114.8623046875,4700,1,0.30000000000000004,1588401.138381958,4700,1,0.30000000000000004,1666778.6795959473,4700,1,0.30000000000000004,1842972.3537750244,4700,1,0.30000000000000004,1340660.5911254883,4700,1,0.30000000000000004,1335046.1144866943,4700,1,0.30000000000000004,1406878.2355651855,4700,1,0.30000000000000004,210976127.98266602,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,4.761904716491699,0,4.761904716491699,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4.761904716491699,66480525312,2147479552,40767709184,0
199,1721499875899,2765692.3392944336,4700,1,0.3125,1423341.6130981445,4700,1,0.31874999999999987,1899722.1842193604,4700,1,0.31874999999999987,1546244.5684814453,4700,1,0.31874999999999987,1559512.789276123,4700,1,0.31874999999999987,1566115.8262634277,4700,1,0.31874999999999987,1588401.4044189453,4700,1,0.31874999999999987,1666779.015838623,4700,1,0.31874999999999987,1842972.655014038,4700,1,0.31874999999999987,1340660.896621704,4700,1,0.31874999999999987,1335046.362701416,4700,1,0.31874999999999987,1406878.484451294,4700,1,0.31874999999999987,210976138.30499268,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,0,0,10,14.285715103149414,4.761904716491699,9.523809432983398,10,35,0,10,10,5.263157844543457,0,0,0,9.523809432983398,20,60.000003814697266,0,0,0,10.526315689086914,5,5.263157844543457,66480525312,2147479552,40775065600,0
199,1721499876099,2765692.537460327,4700,1,0.30000000000000004,1423341.819442749,4700,1,0.30000000000000004,1899722.4132232666,4700,1,0.30000000000000004,1546244.83543396,4700,1,0.30000000000000004,1559513.0225830078,4700,1,0.30000000000000004,1566116.8672027588,4700,1,0.30000000000000004,1588401.6590118408,4700,1,0.30000000000000004,1666779.2965240479,4700,1,0.30000000000000004,1842973.0217132568,4700,1,0.30000000000000004,1340661.0842590332,4700,1,0.30000000000000004,1335046.5889282227,4700,1,0.30000000000000004,1406878.658065796,4700,1,0.30000000000000004,210976148.35360718,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,5.263157844543457,5,0,10.526315689086914,5,0,10,10.526315689086914,5,10,10,0,14.285715103149414,5.263157844543457,0,14.285715103149414,9.523809432983398,100,9.523809432983398,5.263157844543457,19.047618865966797,5,5,9.523809432983398,66480525312,2147479552,40901177344,0
199,1721499876299,2765692.6011047363,4700,1,0.30000000000000004,1423341.9328155518,4700,1,0.30000000000000004,1899722.5972137451,4700,1,0.30000000000000004,1546244.973236084,4700,1,0.30000000000000004,1559513.0834197998,4700,1,0.30000000000000004,1566117.8752288818,4700,1,0.30000000000000004,1588401.869354248,4700,1,0.30000000000000004,1666779.3645629883,4700,1,0.30000000000000004,1842973.1505126953,4700,1,0.30000000000000004,1340661.514251709,4700,1,0.30000000000000004,1335046.6915130615,4700,1,0.30000000000000004,1406878.7776947021,4700,1,0.30000000000000004,210976157.05326843,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,0,0,5,0,0,0,0,0,0,4.761904716491699,0,10,0,0,5,0,10,100,5,0,5,25,0,5,66480525312,2147479552,40879497216,0
199,1721499876499,2765692.608276367,4700,1,0.30000000000000004,1423341.9392547607,4700,1,0.30000000000000004,1899722.6133270264,4700,1,0.30000000000000004,1546244.9816589355,4700,1,0.30000000000000004,1559513.0910491943,4700,1,0.30000000000000004,1566118.869796753,4700,1,0.30000000000000004,1588402.0972747803,4700,1,0.30000000000000004,1666779.3753356934,4700,1,0.30000000000000004,1842973.1572113037,4700,1,0.30000000000000004,1340662.6737365723,4700,1,0.30000000000000004,1335046.6988830566,4700,1,0.30000000000000004,1406878.800064087,4700,1,0.30000000000000004,210976166.1995697,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,66480525312,2147479552,40886722560,0
199,1721499876699,2765692.6150512695,4700,1,0.30000000000000004,1423341.9462280273,4700,1,0.30000000000000004,1899722.6634521484,4700,1,0.30000000000000004,1546245.1796264648,4700,1,0.30000000000000004,1559513.0979309082,4700,1,0.30000000000000004,1566119.8623809814,4700,1,0.30000000000000004,1588402.1231079102,4700,1,0.30000000000000004,1666779.381652832,4700,1,0.30000000000000004,1842973.1634979248,4700,1,0.30000000000000004,1340663.9869995117,4700,1,0.30000000000000004,1335046.7184906006,4700,1,0.30000000000000004,1406878.822052002,4700,1,0.30000000000000004,210976175.3287201,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,0,0,0,0,0,5,0,0,0,0,0,90.90909576416016,0,0,0,0,0,100,0,0,0,0,0,0,66480525312,2147479552,40889565184,0
199,1721499876899,2765692.628051758,4700,1,0.30000000000000004,1423341.9637756348,4700,1,0.30000000000000004,1899722.6758422852,4700,1,0.30000000000000004,1546245.4069519043,4700,1,0.30000000000000004,1559513.1075439453,4700,1,0.30000000000000004,1566120.8556518555,4700,1,0.30000000000000004,1588402.1297454834,4700,1,0.30000000000000004,1666779.3949737549,4700,1,0.30000000000000004,1842973.169631958,4700,1,0.30000000000000004,1340665.628616333,4700,1,0.30000000000000004,1335046.726135254,4700,1,0.30000000000000004,1406878.8354797363,4700,1,0.30000000000000004,210976184.5941162,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,0,66.66667175292969,0,0,0,100,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,66480525312,2147479552,40892272640,0
199,1721499877099,2765692.63482666,4700,1,0.30000000000000004,1423341.9703521729,4700,1,0.30000000000000004,1899722.6829071045,4700,1,0.30000000000000004,1546245.6365203857,4700,1,0.30000000000000004,1559513.1155700684,4700,1,0.30000000000000004,1566121.8460083008,4700,1,0.30000000000000004,1588402.1421661377,4700,1,0.30000000000000004,1666779.4011383057,4700,1,0.30000000000000004,1842973.1762542725,4700,1,0.30000000000000004,1340666.6400146484,4700,1,0.30000000000000004,1335046.9899597168,4700,1,0.30000000000000004,1406878.8587646484,4700,1,0.30000000000000004,210976193.65437317,400,400,400,400,400,4689,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,4692,4690,400,400,0,0,0,0,0,0,0,100,0,0,0,78.94737243652344,0,23.809524536132813,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40897814528,0
