Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721498609610,2763733.0569610596,4700,1,0.30000000000000004,1422451.733947754,4700,1,0.30000000000000004,1898701.8652191162,4700,1,0.30000000000000004,1545184.8289489746,4700,1,0.30000000000000004,1558680.8293762207,4700,1,0.30000000000000004,1565099.5581359863,4700,1,0.30000000000000004,1587057.494644165,4700,1,0.30000000000000004,1665594.553741455,4700,1,0.30000000000000004,1841367.5446777344,4700,1,0.30000000000000004,1339883.4057006836,4700,1,0.30000000000000004,1334135.90675354,4700,1,0.30000000000000004,1405899.6476135254,4700,1,0.30000000000000004,210921424.69792175,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,6.896551609039307,0,0,0,0,0,0,66480525312,2147479552,40769445888,0
199,1721498609611,2763733.059020996,4700,1,0.30000000000000004,1422451.743713379,4700,1,0.30000000000000004,1898701.866027832,4700,1,0.30000000000000004,1545184.8303375244,4700,1,0.30000000000000004,1558680.830505371,4700,1,0.30000000000000004,1565099.5679473877,4700,1,0.30000000000000004,1587057.4958343506,4700,1,0.30000000000000004,1665594.564666748,4700,1,0.30000000000000004,1841367.5455932617,4700,1,0.30000000000000004,1339883.4067382813,4700,1,0.30000000000000004,1334135.9076690674,4700,1,0.30000000000000004,1405899.6492767334,4700,1,0.30000000000000004,210921424.79512024,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,6.896551609039307,0,0,0,0,0,0,66480525312,2147479552,40773058560,0
199,1721498609811,2763733.3354034424,4700,1,0.3062499999999999,1422452.6364593506,4700,1,0.3062499999999999,1898702.0843963623,4700,1,0.3062499999999999,1545185.187210083,4700,1,0.3062499999999999,1558681.2125701904,4700,1,0.3062499999999999,1565099.918182373,4700,1,0.3062499999999999,1587057.8116607666,4700,1,0.3062499999999999,1665594.8936920166,4700,1,0.3062499999999999,1841367.704864502,4700,1,0.3062499999999999,1339883.690460205,4700,1,0.3062499999999999,1334136.0594177246,4700,1,0.3062499999999999,1405899.8230285645,4700,1,0.3062499999999999,210921434.86904907,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,47.619049072265625,9.523809432983398,4.761904716491699,14.285715103149414,9.523809432983398,5,4.761904716491699,9.523809432983398,0,9.523809432983398,14.285715103149414,4.761904716491699,0,47.36842346191406,5,10,10,9.090909004211426,0,0,0,0,66480525312,2147479552,40790093824,0
199,1721498610011,2763733.569442749,4700,1,0.30000000000000004,1422453.5960540771,4700,1,0.30000000000000004,1898702.4369659424,4700,1,0.30000000000000004,1545185.533203125,4700,1,0.30000000000000004,1558681.527999878,4700,1,0.30000000000000004,1565100.2687683105,4700,1,0.30000000000000004,1587058.0957183838,4700,1,0.30000000000000004,1665595.1885528564,4700,1,0.30000000000000004,1841367.9268493652,4700,1,0.30000000000000004,1339883.8494262695,4700,1,0.30000000000000004,1334136.3106079102,4700,1,0.30000000000000004,1405900.062866211,4700,1,0.30000000000000004,210921445.06074524,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,10,22.72727394104004,100,5.263157844543457,5.263157844543457,5,5,20,5,19.047618865966797,5,5,10.526315689086914,0,0,0,19.047618865966797,14.285715103149414,14.285715103149414,5,14.285715103149414,9.523809432983398,14.285715103149414,15.000000953674316,66480525312,2147479552,40884068352,0
199,1721498610211,2763733.787536621,4700,1,0.30000000000000004,1422454.5451660156,4700,1,0.30000000000000004,1898702.593032837,4700,1,0.30000000000000004,1545185.7328643799,4700,1,0.30000000000000004,1558681.796661377,4700,1,0.30000000000000004,1565100.5120544434,4700,1,0.30000000000000004,1587058.341506958,4700,1,0.30000000000000004,1665595.379699707,4700,1,0.30000000000000004,1841367.9841461182,4700,1,0.30000000000000004,1339883.8855743408,4700,1,0.30000000000000004,1334136.3693695068,4700,1,0.30000000000000004,1405900.2487792969,4700,1,0.30000000000000004,210921454.0336609,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,4.761904716491699,5,100,0,10,0,5.263157844543457,0,9.090909004211426,5,0,5,5,0,0,0,5,10,10,0,0,0,0,4.761904716491699,66480525312,2147479552,40890163200,0
199,1721498610411,2763734.9713287354,4700,1,0.30000000000000004,1422455.4856872559,4700,1,0.30000000000000004,1898702.6006622314,4700,1,0.30000000000000004,1545185.8007965088,4700,1,0.30000000000000004,1558681.8052978516,4700,1,0.30000000000000004,1565100.5374908447,4700,1,0.30000000000000004,1587058.3492126465,4700,1,0.30000000000000004,1665595.43850708,4700,1,0.30000000000000004,1841367.9916992188,4700,1,0.30000000000000004,1339883.8931274414,4700,1,0.30000000000000004,1334136.3772277832,4700,1,0.30000000000000004,1405900.4506072998,4700,1,0.30000000000000004,210921462.8541565,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40895967232,0
199,1721498610611,2763736.10647583,4700,1,0.30000000000000004,1422456.4306182861,4700,1,0.30000000000000004,1898702.7429351807,4700,1,0.30000000000000004,1545185.8388214111,4700,1,0.30000000000000004,1558681.8193359375,4700,1,0.30000000000000004,1565100.5663452148,4700,1,0.30000000000000004,1587058.3560180664,4700,1,0.30000000000000004,1665595.4727783203,4700,1,0.30000000000000004,1841367.9979858398,4700,1,0.30000000000000004,1339883.90335083,4700,1,0.30000000000000004,1334136.437713623,4700,1,0.30000000000000004,1405900.5270690918,4700,1,0.30000000000000004,210921471.79011536,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,100,0,86.36363983154297,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,66480525312,2147479552,40900927488,0
199,1721498610811,2763737.812774658,4700,1,0.30000000000000004,1422457.3826904297,4700,1,0.30000000000000004,1898702.9408416748,4700,1,0.30000000000000004,1545185.8451385498,4700,1,0.30000000000000004,1558681.8254699707,4700,1,0.30000000000000004,1565100.5797576904,4700,1,0.30000000000000004,1587058.3738250732,4700,1,0.30000000000000004,1665595.4803771973,4700,1,0.30000000000000004,1841368.0042419434,4700,1,0.30000000000000004,1339883.916381836,4700,1,0.30000000000000004,1334136.444946289,4700,1,0.30000000000000004,1405900.5332183838,4700,1,0.30000000000000004,210921481.09083557,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,100,0,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40902193152,0
199,1721498611011,2763739.3523254395,4700,1,0.30000000000000004,1422458.3205413818,4700,1,0.30000000000000004,1898703.132949829,4700,1,0.30000000000000004,1545185.8515472412,4700,1,0.30000000000000004,1558681.8344726563,4700,1,0.30000000000000004,1565100.5969085693,4700,1,0.30000000000000004,1587058.3799743652,4700,1,0.30000000000000004,1665595.4873046875,4700,1,0.30000000000000004,1841368.0105438232,4700,1,0.30000000000000004,1339883.922592163,4700,1,0.30000000000000004,1334136.4518432617,4700,1,0.30000000000000004,1405900.5401306152,4700,1,0.30000000000000004,210921490.20124817,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,66480525312,2147479552,40907939840,0
199,1721498611211,2763739.6865081787,4700,1,0.3062499999999999,1422459.2633514404,4700,1,0.3062499999999999,1898703.3484039307,4700,1,0.3062499999999999,1545186.6527862549,4700,1,0.3062499999999999,1558682.070022583,4700,1,0.3062499999999999,1565100.7179107666,4700,1,0.3062499999999999,1587058.8267211914,4700,1,0.3062499999999999,1665595.5357513428,4700,1,0.3062499999999999,1841368.0539245605,4700,1,0.3062499999999999,1339883.9499053955,4700,1,0.3062499999999999,1334136.4944915771,4700,1,0.3062499999999999,1405900.765045166,4700,1,0.3062499999999999,210921500.09620667,400,400,400,4689,400,4685,400,400,400,400,4690,400,400,400,4690,4690,400,400,400,400,400,400,400,400,0,14.285715103149414,100,0,21.052631378173828,50,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,31.57894515991211,0,0,0,0,15.789472579956055,66480525312,2147479552,40923369472,0
