Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721501428681,2767969.3683624268,4700,1,0.30000000000000004,1424641.6898345947,4700,1,0.30000000000000004,1901010.7527923584,4700,1,0.30000000000000004,1547642.587173462,4700,1,0.30000000000000004,1560439.7080230713,4700,1,0.30000000000000004,1567343.4203643799,4700,1,0.30000000000000004,1589695.3103485107,4700,1,0.30000000000000004,1668099.8127288818,4700,1,0.30000000000000004,1844593.7619171143,4700,1,0.30000000000000004,1342140.127609253,4700,1,0.30000000000000004,1336217.5464935303,4700,1,0.30000000000000004,1408003.95362854,4700,1,0.30000000000000004,211043255.2653656,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,0,0,0,3.846153974533081,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40754483200,0
199,1721501428682,2767969.378677368,4700,1,0.30000000000000004,1424641.6915130615,4700,1,0.30000000000000004,1901010.7544250488,4700,1,0.30000000000000004,1547642.5889282227,4700,1,0.30000000000000004,1560439.7094268799,4700,1,0.30000000000000004,1567343.4217681885,4700,1,0.30000000000000004,1589695.321182251,4700,1,0.30000000000000004,1668099.8141937256,4700,1,0.30000000000000004,1844593.7713928223,4700,1,0.30000000000000004,1342140.1286773682,4700,1,0.30000000000000004,1336217.5485229492,4700,1,0.30000000000000004,1408003.9549713135,4700,1,0.30000000000000004,211043255.368927,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,0,0,0,3.846153974533081,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40757579776,0
199,1721501428882,2767969.436843872,4700,1,0.30000000000000004,1424641.7175750732,4700,1,0.30000000000000004,1901010.8602752686,4700,1,0.30000000000000004,1547642.6214141846,4700,1,0.30000000000000004,1560439.728012085,4700,1,0.30000000000000004,1567343.4336090088,4700,1,0.30000000000000004,1589695.3618011475,4700,1,0.30000000000000004,1668099.83543396,4700,1,0.30000000000000004,1844594.701309204,4700,1,0.30000000000000004,1342140.151550293,4700,1,0.30000000000000004,1336217.6786193848,4700,1,0.30000000000000004,1408003.992263794,4700,1,0.30000000000000004,211043263.44415283,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,4.761904716491699,4.545454502105713,0,4.761904716491699,4.761904716491699,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,4.761904716491699,0,66480525312,2147479552,40765030400,0
199,1721501429082,2767969.4502105713,4700,1,0.30000000000000004,1424641.7245788574,4700,1,0.30000000000000004,1901011.0510406494,4700,1,0.30000000000000004,1547642.6282348633,4700,1,0.30000000000000004,1560439.7382202148,4700,1,0.30000000000000004,1567343.4403686523,4700,1,0.30000000000000004,1589695.3688049316,4700,1,0.30000000000000004,1668099.8428192139,4700,1,0.30000000000000004,1844595.6352081299,4700,1,0.30000000000000004,1342140.1590423584,4700,1,0.30000000000000004,1336217.6860198975,4700,1,0.30000000000000004,1408003.9989776611,4700,1,0.30000000000000004,211043271.47914124,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,0,0,0,0,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40765030400,0
199,1721501429282,2767969.5403137207,4700,1,0.30000000000000004,1424641.7384033203,4700,1,0.30000000000000004,1901011.210144043,4700,1,0.30000000000000004,1547642.673690796,4700,1,0.30000000000000004,1560439.7566223145,4700,1,0.30000000000000004,1567343.4561462402,4700,1,0.30000000000000004,1589695.384689331,4700,1,0.30000000000000004,1668099.8646392822,4700,1,0.30000000000000004,1844596.5578918457,4700,1,0.30000000000000004,1342140.17678833,4700,1,0.30000000000000004,1336217.7136535645,4700,1,0.30000000000000004,1408004.0322875977,4700,1,0.30000000000000004,211043279.47229004,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,5,0,0,5,0,0,0,0,0,100,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,40765546496,0
199,1721501429482,2767969.750930786,4700,1,0.30000000000000004,1424641.8329315186,4700,1,0.30000000000000004,1901011.3145446777,4700,1,0.30000000000000004,1547642.8178863525,4700,1,0.30000000000000004,1560439.924255371,4700,1,0.30000000000000004,1567343.5629425049,4700,1,0.30000000000000004,1589695.4760437012,4700,1,0.30000000000000004,1668099.9972076416,4700,1,0.30000000000000004,1844597.4889068604,4700,1,0.30000000000000004,1342140.3143615723,4700,1,0.30000000000000004,1336217.9682922363,4700,1,0.30000000000000004,1408004.2260437012,4700,1,0.30000000000000004,211043288.6503601,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,14.285715103149414,0,0,0,0,0,0,5,0,0,100,0,0,0,0,0,0,0,0,0,0,5,9.523809432983398,0,66480525312,2147479552,40762134528,0
199,1721501429682,2767969.945739746,4700,1,0.30000000000000004,1424641.9347839355,4700,1,0.30000000000000004,1901011.4206848145,4700,1,0.30000000000000004,1547643.0021820068,4700,1,0.30000000000000004,1560440.0795593262,4700,1,0.30000000000000004,1567343.6846313477,4700,1,0.30000000000000004,1589695.6605529785,4700,1,0.30000000000000004,1668100.1667175293,4700,1,0.30000000000000004,1844598.3828735352,4700,1,0.30000000000000004,1342140.3986053467,4700,1,0.30000000000000004,1336218.2454681396,4700,1,0.30000000000000004,1408004.4189605713,4700,1,0.30000000000000004,211043297.96881104,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,5.263157844543457,10,0,9.090909004211426,9.090909004211426,0,5,5,10,5,52.38095474243164,0,4.761904716491699,0,0,5,0,0,5,0,42.105262756347656,4.761904716491699,5.263157844543457,5,66480525312,2147479552,40765874176,0
199,1721501429882,2767970.2339019775,4700,1,0.3062499999999999,1424642.0897521973,4700,1,0.3062499999999999,1901011.587600708,4700,1,0.3062499999999999,1547643.2010650635,4700,1,0.3062499999999999,1560440.310409546,4700,1,0.3062499999999999,1567343.8641052246,4700,1,0.3062499999999999,1589695.8484191895,4700,1,0.3062499999999999,1668100.3594665527,4700,1,0.3062499999999999,1844599.3330993652,4700,1,0.3062499999999999,1342140.6000518799,4700,1,0.3062499999999999,1336218.457107544,4700,1,0.3062499999999999,1408004.5840454102,4700,1,0.3062499999999999,211043307.5038452,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,5,14.285715103149414,0,5.263157844543457,5,0,5,5.263157844543457,5,5,0,5.263157844543457,10.526315689086914,0,5.263157844543457,0,10,5,5,9.523809432983398,100,5,5,9.523809432983398,66480525312,2147479552,40862310400,0
199,1721501430083,2767970.302871704,4700,1,0.30000000000000004,1424642.109527588,4700,1,0.30000000000000004,1901011.604751587,4700,1,0.30000000000000004,1547643.3087158203,4700,1,0.30000000000000004,1560440.3953704834,4700,1,0.30000000000000004,1567343.9186096191,4700,1,0.30000000000000004,1589695.903137207,4700,1,0.30000000000000004,1668100.5312957764,4700,1,0.30000000000000004,1844600.270828247,4700,1,0.30000000000000004,1342140.6828460693,4700,1,0.30000000000000004,1336218.592590332,4700,1,0.30000000000000004,1408004.6967010498,4700,1,0.30000000000000004,211043316.03349304,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,9.523809432983398,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,4.761904716491699,0,100,0,0,5,66480525312,2147479552,40870051840,0
199,1721501430283,2767970.4633636475,4700,1,0.30000000000000004,1424642.148284912,4700,1,0.30000000000000004,1901011.6853790283,4700,1,0.30000000000000004,1547643.4418029785,4700,1,0.30000000000000004,1560440.65284729,4700,1,0.30000000000000004,1567343.9558410645,4700,1,0.30000000000000004,1589696.0794372559,4700,1,0.30000000000000004,1668100.7192840576,4700,1,0.30000000000000004,1844601.2044372559,4700,1,0.30000000000000004,1342140.7634124756,4700,1,0.30000000000000004,1336218.666229248,4700,1,0.30000000000000004,1408004.7899780273,4700,1,0.30000000000000004,211043324.6259308,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,0,0,0,5,5,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,5.263157844543457,0,100,0,0,0,66480525312,2147479552,40880332800,0
199,1721501430483,2767970.50630188,4700,1,0.30000000000000004,1424642.1640777588,4700,1,0.30000000000000004,1901011.6971740723,4700,1,0.30000000000000004,1547643.5806732178,4700,1,0.30000000000000004,1560440.9152832031,4700,1,0.30000000000000004,1567344.0011138916,4700,1,0.30000000000000004,1589696.111404419,4700,1,0.30000000000000004,1668100.770828247,4700,1,0.30000000000000004,1844602.1400909424,4700,1,0.30000000000000004,1342140.772644043,4700,1,0.30000000000000004,1336218.6757202148,4700,1,0.30000000000000004,1408004.7999267578,4700,1,0.30000000000000004,211043332.73190308,400,4691,400,4687,400,400,4686,400,400,400,4690,400,400,400,400,400,400,400,4683,4689,400,400,4697,400,0,0,0,0,4.761904716491699,0,5,5,0,0,0,0,0,0,0,5,0,0,0,5,100,0,0,0,66480525312,2147479552,40884719616,0
