Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721500836029,2767153.7093811035,4700,1,0.30000000000000004,1424105.9240722656,4700,1,0.30000000000000004,1900540.9933929443,4700,1,0.30000000000000004,1547250.5842437744,4700,1,0.30000000000000004,1560129.991760254,4700,1,0.30000000000000004,1566883.3808898926,4700,1,0.30000000000000004,1589221.846359253,4700,1,0.30000000000000004,1667567.5736541748,4700,1,0.30000000000000004,1844046.3184051514,4700,1,0.30000000000000004,1341419.431274414,4700,1,0.30000000000000004,1335698.4638214111,4700,1,0.30000000000000004,1407528.642730713,4700,1,0.30000000000000004,211017691.96200562,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,100,0,0,0,0,0,8.69565200805664,66480525312,2147479552,40712003584,0
199,1721500836030,2767153.7113189697,4700,1,0.30000000000000004,1424105.926940918,4700,1,0.30000000000000004,1900540.9953308105,4700,1,0.30000000000000004,1547250.58543396,4700,1,0.30000000000000004,1560129.9928741455,4700,1,0.30000000000000004,1566883.3909759521,4700,1,0.30000000000000004,1589221.848602295,4700,1,0.30000000000000004,1667567.5748596191,4700,1,0.30000000000000004,1844046.320098877,4700,1,0.30000000000000004,1341419.44241333,4700,1,0.30000000000000004,1335698.4658813477,4700,1,0.30000000000000004,1407528.657196045,4700,1,0.30000000000000004,211017692.11114502,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,100,0,0,0,0,0,8.69565200805664,66480525312,2147479552,40715100160,0
199,1721500836230,2767153.926071167,4700,1,0.3062499999999999,1424106.2062225342,4700,1,0.3062499999999999,1900541.2868499756,4700,1,0.3062499999999999,1547250.8324432373,4700,1,0.3062499999999999,1560130.2495422363,4700,1,0.3062499999999999,1566884.3479309082,4700,1,0.3062499999999999,1589222.0865783691,4700,1,0.3062499999999999,1667567.8231506348,4700,1,0.3062499999999999,1844046.7129516602,4700,1,0.3062499999999999,1341419.7684783936,4700,1,0.3062499999999999,1335698.7156219482,4700,1,0.3062499999999999,1407528.936920166,4700,1,0.3062499999999999,211017702.09869385,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,4.761904716491699,4.761904716491699,0,5.263157844543457,4.761904716491699,0,0,4.761904716491699,0,5,15.000000953674316,0,0,0,0,10,4.761904716491699,90.47618865966797,4.761904716491699,0,10.526315689086914,15.000000953674316,5,19.047618865966797,66480525312,2147479552,40724598784,0
199,1721500836430,2767154.149810791,4700,1,0.30000000000000004,1424106.4901428223,4700,1,0.30000000000000004,1900541.566543579,4700,1,0.30000000000000004,1547251.2095489502,4700,1,0.30000000000000004,1560130.4796905518,4700,1,0.30000000000000004,1566885.3786773682,4700,1,0.30000000000000004,1589222.3361053467,4700,1,0.30000000000000004,1667568.1578674316,4700,1,0.30000000000000004,1844047.2112579346,4700,1,0.30000000000000004,1341420.0848236084,4700,1,0.30000000000000004,1335699.0518493652,4700,1,0.30000000000000004,1407529.2310333252,4700,1,0.30000000000000004,211017712.8630829,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,9.523809432983398,5.263157844543457,13.636363983154297,10,10,23.809524536132813,14.285715103149414,27.77777862548828,10,15.000000953674316,33.333335876464844,15.000000953674316,5.263157844543457,9.523809432983398,14.285715103149414,5.555555820465088,10,75,5,5.263157844543457,0,9.523809432983398,19.047618865966797,9.523809432983398,66480525312,2147479552,40854999040,0
199,1721500836630,2767154.2575531006,4700,1,0.30000000000000004,1424106.6592559814,4700,1,0.30000000000000004,1900541.72946167,4700,1,0.30000000000000004,1547251.277481079,4700,1,0.30000000000000004,1560130.5412902832,4700,1,0.30000000000000004,1566886.3932495117,4700,1,0.30000000000000004,1589222.3695831299,4700,1,0.30000000000000004,1667568.2343292236,4700,1,0.30000000000000004,1844047.4720916748,4700,1,0.30000000000000004,1341420.1877288818,4700,1,0.30000000000000004,1335699.1063842773,4700,1,0.30000000000000004,1407529.402709961,4700,1,0.30000000000000004,211017721.40847778,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,5,10,0,4.761904716491699,0,0,0,100,0,0,0,0,0,0,0,9.523809432983398,5,4.761904716491699,0,4.545454502105713,10.526315689086914,5,5,5,66480525312,2147479552,40832856064,0
199,1721500836830,2767154.2652282715,4700,1,0.30000000000000004,1424106.6670837402,4700,1,0.30000000000000004,1900541.7367248535,4700,1,0.30000000000000004,1547251.2839660645,4700,1,0.30000000000000004,1560130.5488433838,4700,1,0.30000000000000004,1566887.4024047852,4700,1,0.30000000000000004,1589222.3778381348,4700,1,0.30000000000000004,1667568.2418823242,4700,1,0.30000000000000004,1844048.6319885254,4700,1,0.30000000000000004,1341420.1950378418,4700,1,0.30000000000000004,1335699.1154785156,4700,1,0.30000000000000004,1407529.4364471436,4700,1,0.30000000000000004,211017730.21917725,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,100,0,0,80,0,0,0,0,0,0,0,0,0,15.000000953674316,0,0,0,66480525312,2147479552,40839122944,0
199,1721500837030,2767154.273132324,4700,1,0.30000000000000004,1424106.6745300293,4700,1,0.30000000000000004,1900541.7490844727,4700,1,0.30000000000000004,1547251.290298462,4700,1,0.30000000000000004,1560130.5557556152,4700,1,0.30000000000000004,1566888.4144744873,4700,1,0.30000000000000004,1589222.4034118652,4700,1,0.30000000000000004,1667568.2481079102,4700,1,0.30000000000000004,1844049.8198547363,4700,1,0.30000000000000004,1341420.2020874023,4700,1,0.30000000000000004,1335699.1343688965,4700,1,0.30000000000000004,1407529.506286621,4700,1,0.30000000000000004,211017739.17504883,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,100,0,0,89.47368621826172,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,66480525312,2147479552,40843591680,0
199,1721500837230,2767154.2805023193,4700,1,0.30000000000000004,1424106.6870422363,4700,1,0.30000000000000004,1900541.7613220215,4700,1,0.30000000000000004,1547251.3029785156,4700,1,0.30000000000000004,1560130.5619812012,4700,1,0.30000000000000004,1566889.4273986816,4700,1,0.30000000000000004,1589222.4107818604,4700,1,0.30000000000000004,1667568.2653198242,4700,1,0.30000000000000004,1844051.4685058594,4700,1,0.30000000000000004,1341420.2087554932,4700,1,0.30000000000000004,1335699.1405944824,4700,1,0.30000000000000004,1407529.5281982422,4700,1,0.30000000000000004,211017748.47557068,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,5,0,0,0,0,0,0,0,66480525312,2147479552,40845115392,0
199,1721500837430,2767154.28717041,4700,1,0.30000000000000004,1424106.693206787,4700,1,0.30000000000000004,1900541.7678222656,4700,1,0.30000000000000004,1547251.3092041016,4700,1,0.30000000000000004,1560130.5684051514,4700,1,0.30000000000000004,1566890.434310913,4700,1,0.30000000000000004,1589222.4190979004,4700,1,0.30000000000000004,1667568.2714691162,4700,1,0.30000000000000004,1844052.8144836426,4700,1,0.30000000000000004,1341420.2250061035,4700,1,0.30000000000000004,1335699.1467437744,4700,1,0.30000000000000004,1407529.5437164307,4700,1,0.30000000000000004,211017757.6125946,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,66480525312,2147479552,40850034688,0
199,1721500837631,2767154.923690796,4700,1,0.30000000000000004,1424106.752029419,4700,1,0.30000000000000004,1900541.896987915,4700,1,0.30000000000000004,1547251.3171386719,4700,1,0.30000000000000004,1560130.611404419,4700,1,0.30000000000000004,1566891.4433441162,4700,1,0.30000000000000004,1589222.5950775146,4700,1,0.30000000000000004,1667568.3005523682,4700,1,0.30000000000000004,1844052.889175415,4700,1,0.30000000000000004,1341420.7287445068,4700,1,0.30000000000000004,1335699.8239135742,4700,1,0.30000000000000004,1407529.7898712158,4700,1,0.30000000000000004,211017767.6858673,400,400,400,400,4689,400,400,400,4688,400,400,400,400,400,400,400,400,4690,400,400,400,400,400,400,0,0,0,0,47.619049072265625,0,0,100,0,0,4.761904716491699,0,0,0,0,0,0,0,14.285715103149414,0,0,36.842105865478516,40,15.789472579956055,66480525312,2147479552,40865689600,0
