Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721498233422,2763198.409439087,4700,1,0.30000000000000004,1422025.5463409424,4700,1,0.30000000000000004,1898444.9881744385,4700,1,0.30000000000000004,1544870.5239868164,4700,1,0.30000000000000004,1558366.9318847656,4700,1,0.30000000000000004,1564805.4955444336,4700,1,0.30000000000000004,1586792.9357910156,4700,1,0.30000000000000004,1665323.7526855469,4700,1,0.30000000000000004,1841036.0633544922,4700,1,0.30000000000000004,1339656.3919067383,4700,1,0.30000000000000004,1333767.6572113037,4700,1,0.30000000000000004,1405620.2187347412,4700,1,0.30000000000000004,210905166.32466125,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,4.761904716491699,0,4.545454502105713,0,0,4.545454502105713,100,0,4.545454502105713,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,66480525312,2147479552,40763604992,0
199,1721498233423,2763198.4114227295,4700,1,0.30000000000000004,1422025.5474395752,4700,1,0.30000000000000004,1898444.9892730713,4700,1,0.30000000000000004,1544870.5257110596,4700,1,0.30000000000000004,1558366.933380127,4700,1,0.30000000000000004,1564805.5058288574,4700,1,0.30000000000000004,1586792.9466552734,4700,1,0.30000000000000004,1665323.7542572021,4700,1,0.30000000000000004,1841036.0644836426,4700,1,0.30000000000000004,1339656.3936462402,4700,1,0.30000000000000004,1333767.666885376,4700,1,0.30000000000000004,1405620.2198638916,4700,1,0.30000000000000004,210905166.42662048,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,4.761904716491699,0,4.545454502105713,0,0,4.545454502105713,100,0,4.545454502105713,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,66480525312,2147479552,40766672896,0
199,1721498233623,2763198.664657593,4700,1,0.30000000000000004,1422025.7831878662,4700,1,0.3062499999999999,1898445.2161865234,4700,1,0.3062499999999999,1544870.742980957,4700,1,0.30000000000000004,1558367.2096557617,4700,1,0.30000000000000004,1564805.7785186768,4700,1,0.30000000000000004,1586793.206375122,4700,1,0.3062499999999999,1665324.2250671387,4700,1,0.3062499999999999,1841036.3189849854,4700,1,0.3062499999999999,1339656.6086425781,4700,1,0.3062499999999999,1333768.578491211,4700,1,0.3062499999999999,1405620.4558563232,4700,1,0.3062499999999999,210905176.36288452,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,9.523809432983398,0,0,4.761904716491699,5,0,10,9.523809432983398,4.761904716491699,20,0,0,0,90,5,5.263157844543457,0,5,10,18.18181800842285,5,0,5,4.761904716491699,66480525312,2147479552,40780980224,0
199,1721498233823,2763198.9782714844,4700,1,0.30000000000000004,1422026.0971221924,4700,1,0.30000000000000004,1898445.4500579834,4700,1,0.30000000000000004,1544871.0084533691,4700,1,0.30000000000000004,1558367.519958496,4700,1,0.30000000000000004,1564806.17678833,4700,1,0.30000000000000004,1586793.4866027832,4700,1,0.30000000000000004,1665324.6087341309,4700,1,0.30000000000000004,1841036.6764068604,4700,1,0.30000000000000004,1339656.93258667,4700,1,0.30000000000000004,1333769.5355682373,4700,1,0.30000000000000004,1405620.8300476074,4700,1,0.30000000000000004,210905187.1200409,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,10,14.285715103149414,10,5,5,5,14.285715103149414,20,10,5,5.263157844543457,5.263157844543457,10,5.263157844543457,15.000000953674316,5.263157844543457,13.636363983154297,5,9.523809432983398,20,15.789472579956055,5.263157844543457,95,14.285715103149414,66480525312,2147479552,40906141696,0
199,1721498234023,2763199.20362854,4700,1,0.30000000000000004,1422026.1807403564,4700,1,0.30000000000000004,1898445.5004425049,4700,1,0.30000000000000004,1544871.0982666016,4700,1,0.30000000000000004,1558367.9833984375,4700,1,0.30000000000000004,1564806.2218170166,4700,1,0.30000000000000004,1586793.5550079346,4700,1,0.30000000000000004,1665324.7504730225,4700,1,0.30000000000000004,1841036.751800537,4700,1,0.30000000000000004,1339657.1175994873,4700,1,0.30000000000000004,1333770.4677276611,4700,1,0.30000000000000004,1405620.995147705,4700,1,0.30000000000000004,210905195.69404602,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,5,0,0,5,0,10.526315689086914,0,0,5,0,0,25,0,0,0,0,5,0,0,0,4.761904716491699,100,0,66480525312,2147479552,40886063104,0
199,1721498234223,2763199.2280273438,4700,1,0.3062499999999999,1422026.1874389648,4700,1,0.30000000000000004,1898445.5091552734,4700,1,0.30000000000000004,1544871.108291626,4700,1,0.3062499999999999,1558369.208694458,4700,1,0.3062499999999999,1564806.2464752197,4700,1,0.30000000000000004,1586793.5618133545,4700,1,0.30000000000000004,1665324.7610321045,4700,1,0.30000000000000004,1841036.7579956055,4700,1,0.30000000000000004,1339657.2955474854,4700,1,0.30000000000000004,1333771.4017181396,4700,1,0.30000000000000004,1405621.0127868652,4700,1,0.30000000000000004,210905204.77116394,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,0,0,0,0,0,80,0,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,40891604992,0
199,1721498234423,2763199.242340088,4700,1,0.30000000000000004,1422026.193572998,4700,1,0.30000000000000004,1898445.525314331,4700,1,0.30000000000000004,1544871.1162261963,4700,1,0.30000000000000004,1558370.5405578613,4700,1,0.30000000000000004,1564806.2734527588,4700,1,0.30000000000000004,1586793.5689239502,4700,1,0.30000000000000004,1665324.773727417,4700,1,0.30000000000000004,1841036.764099121,4700,1,0.30000000000000004,1339657.379043579,4700,1,0.30000000000000004,1333772.3344573975,4700,1,0.30000000000000004,1405621.136352539,4700,1,0.30000000000000004,210905214.04286194,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,0,0,0,0,0,90.47618865966797,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,66480525312,2147479552,40895373312,0
199,1721498234623,2763199.2496185303,4700,1,0.30000000000000004,1422026.200378418,4700,1,0.30000000000000004,1898445.5422210693,4700,1,0.30000000000000004,1544871.1243743896,4700,1,0.30000000000000004,1558372.241241455,4700,1,0.30000000000000004,1564806.2946472168,4700,1,0.30000000000000004,1586793.5861663818,4700,1,0.30000000000000004,1665324.791442871,4700,1,0.30000000000000004,1841036.7702941895,4700,1,0.30000000000000004,1339657.3955841064,4700,1,0.30000000000000004,1333773.2645263672,4700,1,0.30000000000000004,1405621.3198394775,4700,1,0.30000000000000004,210905223.44633484,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,0,0,0,0,4.761904716491699,35,0,0,0,0,0,65,100,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,40896880640,0
199,1721498234823,2763199.2569122314,4700,1,0.30000000000000004,1422026.2070007324,4700,1,0.30000000000000004,1898445.5491790771,4700,1,0.30000000000000004,1544871.1331939697,4700,1,0.30000000000000004,1558373.5762939453,4700,1,0.30000000000000004,1564806.3180389404,4700,1,0.30000000000000004,1586793.602279663,4700,1,0.30000000000000004,1665324.7982177734,4700,1,0.30000000000000004,1841036.7765960693,4700,1,0.30000000000000004,1339657.405960083,4700,1,0.30000000000000004,1333774.199005127,4700,1,0.30000000000000004,1405621.442642212,4700,1,0.30000000000000004,210905232.63729858,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,4.761904716491699,66480525312,2147479552,40901959680,0
199,1721498235023,2763199.3309173584,4700,1,0.30000000000000004,1422026.2212219238,4700,1,0.3062499999999999,1898445.58984375,4700,1,0.3062499999999999,1544871.1730957031,4700,1,0.30000000000000004,1558374.3256225586,4700,1,0.3062499999999999,1564806.8781585693,4700,1,0.3062499999999999,1586793.9560546875,4700,1,0.3062499999999999,1665324.846130371,4700,1,0.3062499999999999,1841036.8203125,4700,1,0.3062499999999999,1339658.1698150635,4700,1,0.3062499999999999,1333775.1337280273,4700,1,0.3062499999999999,1405621.715637207,4700,1,0.3062499999999999,210905243.04504395,400,400,400,400,400,4690,400,400,400,400,400,400,400,4690,4686,4690,400,400,400,400,400,400,4691,400,4.761904716491699,0,0,0,0,0,0,0,0,0,4.761904716491699,0,55,100,0,0,0,40,28.571430206298828,0,0,40,0,14.285715103149414,66480525312,2147479552,40922882048,0
